threshold,segmented_fraction,connected_components,mean_region_area,median_region_area,separability,threshold_instability,detector,sample_state,material,image_id
0.35582143,0.5492206837871287,130,6554.1461538461535,127.0,1.8026564,0.11388422554875306,TLD,Fresh,LFP,1
0.26364672,0.37993695853960396,206,2861.257281553398,95.5,1.782141,0.12563265171758503,TLD,Fresh,LFP,10
0.3400293,0.4695866852310231,168,4336.297619047619,239.0,1.6668869,0.13394232666917028,TLD,Fresh,LFP,2
0.38167626,0.42048525165016504,207,3151.3236714975847,134.0,1.6473842,0.13805732751332075,TLD,Fresh,LFP,3
0.25332218,0.39607247834158416,223,2755.385650224215,88.0,1.6682506,0.13719801203456902,TLD,Fresh,LFP,4
0.26446426,0.38026570235148516,175,3371.022857142857,123.0,1.7719508,0.12488037766552813,TLD,Fresh,LFP,5
0.45507812,0.38885300639438947,171,3527.783625730994,127.0,1.8375188,0.11886532629142371,TLD,Fresh,LFP,6
0.40820312,0.379851227310231,190,3101.5052631578947,109.0,1.8201038,0.11539903009349213,TLD,Fresh,LFP,7
0.3817246,0.389803140470297,216,2799.652777777778,92.5,1.7817842,0.1253469403521549,TLD,Fresh,LFP,8
0.25964814,0.37979837046204623,219,2690.4292237442924,69.0,1.7824764,0.1237264854511389,TLD,Fresh,LFP,9
