sample_state,material,image_id,Mean,RMS_Contrast,Entropy,Sharpness,Gradient,SNR,parameter_set,voltage_kV,current_nA,detector,signal_out,mode,magnification,notes,WD_mm,scan_speed_us,suction_V,threshold,segmented_fraction,mean_region_area,median_region_area,separability,connected_components,threshold_instability
Fresh,LFP,1.0,24646.98219,10673.42081,7.355525292,5712034.904,7813.35656,19.93953735,1,5,0.1,TLD,SE,Immersion,125000x,,3,30,70.0,0.35582143,0.5492206837871287,6554.1461538461535,127.0,1.8026564,130,0.113884225548753
Fresh,LFP,2.0,22342.51788,9696.757231,7.220239192,8550127.633,8040.74987,16.32957806,1,5,0.05,TLD,SE,Immersion,125000x,,3,30,70.0,0.3400293,0.4695866852310231,4336.297619047619,239.0,1.6668869,168,0.1339423266691702
Fresh,LFP,3.0,23699.76318,10626.18406,7.346887985,35611786.63,10634.19252,12.78630772,1,5,0.013,TLD,SE,Immersion,125000x,,3,30,70.0,0.38167626,0.420485251650165,3151.3236714975847,134.0,1.6473842,207,0.1380573275133207
Fresh,LFP,4.0,18195.34289,5125.78269,6.305091798,32610914.8,7527.223644,12.64448124,1,5,0.0031,TLD,SE,Immersion,125000x,,3,30,70.0,0.25332218,0.3960724783415841,2755.385650224215,88.0,1.6682506,223,0.137198012034569
Fresh,LFP,5.0,18970.08137,5375.608078,6.377426549,35602372.67,7513.29828,13.00514125,1,5,0.0031,TLD,SE,Immersion,125000x,New area to account for beam history effect,3,30,70.0,0.26446426,0.3802657023514851,3371.022857142857,123.0,1.7719508,175,0.1248803776655281
Fresh,LFP,6.0,27573.54269,12477.80874,7.578949481,8482756.393,9270.245904,17.96999087,1,5,0.1,TLD,SE,Immersion,125000x,same are as sample 5,3,30,70.0,0.45507812,0.3888530063943894,3527.783625730994,127.0,1.8375188,171,0.1188653262914237
Fresh,LFP,7.0,24525.19842,11420.01122,7.45640688,12952083.43,9634.194959,14.318056,1,5,0.05,TLD,SE,Immersion,125000x,same are as sample 5,3,30,70.0,0.40820312,0.379851227,3101.5052631578947,109.0,1.8201038,190,0.1153990300934921
Fresh,LFP,8.0,23776.49939,10040.25137,7.284404276,38256104.78,11328.59758,10.99996474,1,5,0.013,TLD,SE,Immersion,125000x,same are as sample 5,3,30,70.0,0.3817246,0.38980314,2799.652777777778,92.5,1.7817842,216,0.1253469403521549
Fresh,LFP,9.0,12138.42959,5140.852849,6.309912858,34520949.09,8002.886744,7.658885743,1,5,0.0031,TLD,SE,Immersion,125000x,same are as sample 5,3,30,70.0,0.25964814,0.3797983704620462,2690.4292237442924,69.0,1.7824764,219,0.1237264854511389
Fresh,LFP,10.0,16670.01171,5104.453135,6.300105442,33807821.9,7639.75725,11.13214413,1,5,0.0031,TLD,SE,Immersion,125000x,"same are as sample 5  and same scan as 9, adjusted brightness",3,30,70.0,0.26364672,0.3799369585396039,2861.257281553398,95.5,1.782141,206,0.125632651717585
