threshold,segmented_fraction,connected_components,mean_region_area,median_region_area,separability,threshold_instability,detector,sample_state,material,image_id
0.46021596,0.5541092976485148,170,5056.605882352941,2245.5,2.6984591,0.05119281272563903,CBS,Fresh,LFP,33
0.44784325,0.5119746544966997,59,13461.983050847457,6383.0,2.7074735,0.04943968205024726,CBS,Fresh,LFP,34
0.47927716,0.5777775629125412,44,20371.386363636364,5638.0,2.2536204,0.081439062366173,CBS,Fresh,LFP,35
0.46728376,0.5721876289191419,126,7044.992063492064,1279.0,2.2397788,0.07830031884260298,CBS,Fresh,LFP,36
0.5439875,0.5730803939768977,35,25401.542857142857,6975.0,2.1192548,0.11396393354689315,CBS,Fresh,LFP,37
0.46033674,0.5725595606435644,96,9252.5625,1419.5,2.02209,0.11152869456380142,CBS,Fresh,LFP,38
0.44820893,0.5691638304455445,41,21536.048780487807,5944.0,2.0486567,0.09618269588520807,CBS,Fresh,LFP,39
0.46632326,0.5557336788366337,97,8888.072164948453,1296.0,1.9925884,0.10560922017916366,CBS,Fresh,LFP,40
