image_id,first_place_percent,second_place_percent,third_place_percent,top_3_percent,mean_rank,median_rank,rank_std
1.0,95.445,4.517,0.038,100.0,1.04593,1.0,0.211141
2.0,4.129,43.985,11.911,60.025,3.59074,3.0,2.12386
6.0,0.426,45.645,52.992,99.063,2.5444,3.0,0.52468
7.0,0.0,5.853,33.86,39.713,3.85466,4.0,0.977137
3.0,0.0,0.0,0.842,0.842,8.08891,9.0,1.49541
5.0,0.0,0.0,0.357,0.357,4.53901,5.0,0.58496
10.0,0.0,0.0,0.0,0.0,6.39628,6.0,0.796858
8.0,0.0,0.0,0.0,0.0,6.93042,7.0,0.766276
9.0,0.0,0.0,0.0,0.0,8.10744,8.0,1.10858
4.0,0.0,0.0,0.0,0.0,9.90221,10.0,0.323554
