image_id,rank_1_percent,rank_2_percent,rank_3_percent,rank_4_percent,rank_5_percent,rank_6_percent,rank_7_percent,rank_8_percent
33.0,65.83,18.121,7.822,3.139,2.228,1.159,0.397,1.304
34.0,21.772,64.998,11.121,2.054,0.055,0.0,0.0,0.0
35.0,10.518,5.646,16.536,26.458,19.042,20.785,1.015,0.0
39.0,1.628,2.82,11.365,13.735,10.389,45.264,10.762,4.037
37.0,0.252,3.68,2.783,2.266,5.089,6.304,27.846,51.78
36.0,0.0,4.281,35.804,24.415,18.141,11.202,5.798,0.359
40.0,0.0,0.454,14.548,27.586,43.499,8.377,4.756,0.78
38.0,0.0,0.0,0.021,0.347,1.557,6.909,49.426,41.74
