image_id,first_place_percent,second_place_percent,third_place_percent,top_3_percent,mean_rank,median_rank,rank_std
33.0,65.83,18.121,7.822,91.773,1.69399,1.0,1.31266
34.0,21.772,64.998,11.121,97.891,1.93622,2.0,0.641851
35.0,10.518,5.646,16.536,32.7,4.04275,4.0,1.56498
39.0,1.628,2.82,11.365,15.813,5.27462,6.0,1.50906
37.0,0.252,3.68,2.783,6.715,6.97456,8.0,1.56323
36.0,0.0,4.281,35.804,40.085,4.15009,4.0,1.30977
40.0,0.0,0.454,14.548,15.002,4.62185,5.0,1.04874
38.0,0.0,0.0,0.021,0.021,7.30592,7.0,0.699838
