image_id,rank_1_percent,rank_2_percent,rank_3_percent,rank_4_percent,rank_5_percent,rank_6_percent,rank_7_percent,rank_8_percent
46.0,63.064,4.314,3.417,2.851,3.911,4.994,17.449,0.0
49.0,13.401,13.205,4.691,8.202,12.458,28.457,11.48,8.106
45.0,13.273,11.896,7.603,10.521,4.788,7.721,32.526,11.672
47.0,8.912,23.861,33.126,18.401,12.109,2.027,1.494,0.07
51.0,1.166,38.792,21.952,3.599,3.489,22.803,8.199,0.0
52.0,0.184,0.815,2.883,40.005,29.474,10.189,16.247,0.203
48.0,0.0,4.437,21.468,8.6,30.776,22.585,10.347,1.787
50.0,0.0,2.68,4.86,7.821,2.995,1.224,2.258,78.162
