image_id,first_place_percent,second_place_percent,third_place_percent,top_3_percent,mean_rank,median_rank,rank_std
46.0,63.064,4.314,3.417,70.795,2.65009,1.0,2.42271
49.0,13.401,13.205,4.691,31.297,4.64932,5.0,2.22544
45.0,13.273,11.896,7.603,32.772,4.93282,6.0,2.45517
47.0,8.912,23.861,33.126,65.899,3.13341,3.0,1.29793
51.0,1.166,38.792,21.952,61.91,3.70658,3.0,1.86413
52.0,0.184,0.815,2.883,3.882,4.9434,5.0,1.17686
48.0,0.0,4.437,21.468,25.905,4.83793,5.0,1.45545
50.0,0.0,2.68,4.86,7.54,7.14645,8.0,1.74462
