image_id,first_place_percent,second_place_percent,third_place_percent,top_3_percent,mean_rank,median_rank,rank_std
8.0,43.93,15.621,11.267,70.818,2.54287,2.0,1.74648
6.0,36.118,6.687,36.089,78.894,2.70522,3.0,1.80105
3.0,16.647,57.746,13.811,88.204,2.24374,2.0,0.947582
1.0,3.305,12.519,3.983,19.807,5.01435,5.0,2.16975
7.0,0.0,7.414,24.08,31.494,3.9465,4.0,1.1856
5.0,0.0,0.013,8.317,8.33,6.52936,7.0,1.29285
2.0,0.0,0.0,2.132,2.132,6.4534,6.0,1.49598
9.0,0.0,0.0,0.321,0.321,8.80178,10.0,1.70482
4.0,0.0,0.0,0.0,0.0,8.23035,8.0,1.23134
10.0,0.0,0.0,0.0,0.0,8.53243,9.0,1.23858
