image_id,rank_1_percent,rank_2_percent,rank_3_percent,rank_4_percent,rank_5_percent,rank_6_percent,rank_7_percent,rank_8_percent,rank_9_percent,rank_10_percent
8.0,43.93,15.621,11.267,9.808,10.633,8.404,0.203,0.134,0.0,0.0
6.0,36.118,6.687,36.089,12.593,1.053,0.794,0.966,5.7,0.0,0.0
3.0,16.647,57.746,13.811,8.178,3.618,0.0,0.0,0.0,0.0,0.0
1.0,3.305,12.519,3.983,7.245,53.891,3.954,1.078,1.245,6.322,6.458
7.0,0.0,7.414,24.08,51.588,8.731,1.209,5.711,1.061,0.204,0.002
5.0,0.0,0.013,8.317,1.468,6.675,4.979,70.547,7.002,0.997,0.002
2.0,0.0,0.0,2.132,2.3,6.26,68.216,3.687,1.257,8.197,7.951
9.0,0.0,0.0,0.321,3.14,2.98,5.123,8.543,17.188,3.338,59.367
4.0,0.0,0.0,0.0,1.725,1.593,5.004,3.533,61.483,5.069,21.593
10.0,0.0,0.0,0.0,1.955,4.566,2.317,5.732,4.93,75.873,4.627
