threshold,segmented_fraction,connected_components,mean_region_area,median_region_area,separability,threshold_instability,detector,sample_state,material,image_id
0.52647734,0.3548499381188119,117,4705.128205128205,341,2.3693643,0.068211343,ICE,Fresh,LFP,53
0.5022115,0.38644479682343236,140,4282.25,159,2.233967,0.075009933,ICE,Fresh,LFP,54
0.45191446,0.323864222,261,1925.0191570881227,169,2.2530098,0.061533322,ICE,Fresh,LFP,55
0.47245288,0.33017739273927393,248,2065.4193548387098,138,2.2586076,0.064850521,ICE,Fresh,LFP,56
0.542161,0.3815162180280528,185,3199.2918918918917,128,2.3569179,0.072121799,ICE,Fresh,LFP,57
0.542161,0.3815162180280528,185,3199.2918918918917,128,2.3569179,0.072121799,ICE,Fresh,LFP,58
0.536082,0.4036542130775578,179,3498.396648044693,161,2.3547752,0.072129636,ICE,Fresh,LFP,59
0.51526356,0.3916486179867987,199,3053.2060301507536,126,2.2992003,0.072258104,ICE,Fresh,LFP,60
0.52485335,0.37350518254950493,184,3149.1358695652175,154.5,2.399259,0.065818594,ICE,Fresh,LFP,61
0.523276,0.4002455909653465,183,3393.032786885246,170,2.2851286,0.075795865,ICE,Fresh,LFP,62
