sample_state,material,image_id,Mean,RMS_Contrast,Entropy,Sharpness,Gradient,SNR,parameter_set,voltage_kV,current_nA,detector,signal_out,mode,magnification,notes,WD_mm,scan_speed_us,suction_V,threshold,segmented_fraction,mean_region_area,median_region_area,separability,connected_components,threshold_instability
Fresh,LFP,53.0,115.5031031,72.27036101,7.776030157,3991.500636,292.3747471,7.986087399,7,30,0.024,ICE,SI,,100000x,faster photo scan 10 us,4 (with 52 titl shows 13),10,,0.52647734,0.3548499381188119,4705.128205128205,341.0,2.3693643,117,0.068211343
Fresh,LFP,54.0,114.1663012,70.28013135,7.889207224,10610.73224,441.4240193,4.923879194,7,30,0.0077,ICE,SI,,100000x,faster photo scan 10 us,4 (with 52 titl shows 13),10,,0.5022115,0.3864447968234323,4282.25,159.0,2.233967,140,0.075009933
Fresh,LFP,55.0,93.91903427,69.14382284,7.799775985,9485.46817,448.414582,4.189504711,7,30,0.0077,ICE,SI,,70000x,faster photo scan 10 us,4 (with 52 titl shows 13),10,,0.45191446,0.323864222,1925.0191570881227,169.0,2.2530098,261,0.061533322
Fresh,LFP,56.0,100.1337233,69.44984956,7.834446343,9909.458049,468.2159753,4.336674063,7,30,0.0077,ICE,SI,,70000x,faster photo scan 10 us,4 (with 52 titl shows 13),10,,0.47245288,0.3301773927392739,2065.4193548387098,138.0,2.2586076,248,0.064850521
Fresh,LFP,57.0,122.8725718,73.28835359,7.815617919,4255.234002,362.6515091,7.595458895,7,30,0.0077,ICE,SI,,70000x,back to normal slow scan 30 us,4 (with 52 titl shows 13),30,,0.542161,0.3815162180280528,3199.291891891892,128.0,2.3569179,185,0.072121799
Fresh,LFP,58.0,122.8725718,73.28835359,7.815617919,4255.234002,362.6515091,7.595458895,7,30,0.0077,ICE,SI,,70000x,,4 (with 52 titl shows 13),30,,0.542161,0.3815162180280528,3199.291891891892,128.0,2.3569179,185,0.072121799
Fresh,LFP,59.0,124.1831541,74.43376038,7.817142322,4217.297584,365.9892845,7.665723904,7,30,0.0077,ICE,SI,,70000x,,4 (with 52 titl shows 13),30,,0.536082,0.4036542130775578,3498.396648044693,161.0,2.3547752,179,0.072129636
Fresh,LFP,60.0,117.5426477,74.0225037,7.81699768,4135.410164,359.0426888,7.365815665,7,30,0.0077,ICE,SI,,70000x,,4 (with 52 titl shows 13),30,,0.51526356,0.3916486179867987,3053.2060301507536,126.0,2.2992003,199,0.072258104
Fresh,LFP,61.0,117.4197337,73.59652799,7.774073865,4097.690145,360.257734,7.358140207,7,30,0.0077,ICE,SI,,70000x,,4 (with 52 titl shows 13),30,,0.52485335,0.3735051825495049,3149.135869565217,154.5,2.399259,184,0.065818594
Fresh,LFP,62.0,120.8784048,72.7160267,7.810890596,4608.737525,375.3873247,7.21149556,7,30,0.0077,ICE,SI,,70000x,,4 (with 52 titl shows 13),30,,0.523276,0.4002455909653465,3393.032786885246,170.0,2.2851286,183,0.075795865
