image_id,first_place_percent,second_place_percent,third_place_percent,top_3_percent,mean_rank,median_rank,rank_std
14.0,56.899,33.539,1.162,91.6,1.75094,1.0,1.33805
15.0,34.074,55.804,1.407,91.285,1.99639,2.0,1.31907
13.0,8.135,1.451,4.018,13.604,6.48933,7.0,2.30266
16.0,0.892,8.482,5.335,14.709,5.26084,6.0,1.56586
11.0,0.0,0.488,49.891,50.379,4.6362,3.0,2.31602
18.0,0.0,0.122,29.746,29.868,4.64743,4.0,1.86405
17.1,0.0,0.06,7.372,7.432,6.34597,7.0,1.41878
19.0,0.0,0.054,1.069,1.123,6.45136,5.0,2.38752
17.0,0.0,0.0,0.0,0.0,8.26525,9.0,1.40615
20.0,0.0,0.0,0.0,0.0,9.49071,10.0,0.998916
12.0,0.0,0.0,0.0,0.0,10.6656,11.0,1.10568
