image_id,parameter_set,voltage_kV,current_nA,detector,signal_out,mode,magnification,notes,WD_mm,scan_speed_us,suction_V
76,8,30,3.2,ETD,SE,Field-Free,50000x,same area as previous,4,30,NA
77,8,30,0.4,ETD,SE,Field-Free,50000x,same area as previous,4,30,NA
78,8,10,1.6,ETD,SE,Field-Free,50000x,same area as previous,4,30,NA
79,8,10,1.6,ETD,SE,Field-Free,50000x,Different area,4,30,NA
80,8,10,0.4,ETD,SE,Field-Free,50000x,Different area,4,30,NA
81,8,15,0.4,ETD,SE,Field-Free,50000x,same area as previous,4,30,NA
82,8,15,1.6,ETD,SE,Field-Free,50000x,same area as previous,4,30,NA
83,8,20,1.6,ETD,SE,Field-Free,50000x,same area as previous,4,30,NA
84,8,20,0.8,ETD,SE,Field-Free,50000x,same area as previous,4,30,NA
85,8,20,0.4,ETD,SE,Field-Free,50000x,same area as previous,4,30,NA
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
