image_id,rank_1_percent,rank_2_percent,rank_3_percent,rank_4_percent,rank_5_percent,rank_6_percent,rank_7_percent,rank_8_percent
34.0,40.801,9.917,7.292,30.907,2.047,2.957,2.674,3.405
37.0,31.964,23.054,16.57,14.448,7.589,6.324,0.047,0.004
35.0,24.973,48.094,26.216,0.717,0.0,0.0,0.0,0.0
33.0,2.262,13.637,7.891,5.562,43.445,6.19,6.236,14.777
39.0,0.0,5.168,41.311,35.368,15.495,2.658,0.0,0.0
36.0,0.0,0.13,0.72,9.993,12.326,63.573,11.914,1.344
38.0,0.0,0.0,0.0,3.005,18.861,8.241,58.807,11.086
40.0,0.0,0.0,0.0,0.0,0.237,10.057,20.322,69.384
