image_id,first_place_percent,second_place_percent,third_place_percent,top_3_percent,mean_rank,median_rank,rank_std
53.0,85.902,7.376,3.436,96.714,1.30672,1.0,1.01456
59.0,7.663,20.171,57.112,84.946,2.83354,3.0,0.863395
61.0,5.68,49.31,17.454,72.444,2.89737,2.0,1.39391
55.0,0.59,1.216,6.057,7.863,8.45617,9.0,2.17409
54.0,0.165,19.182,10.205,29.552,5.41782,5.0,2.6077
62.0,0.0,2.732,4.599,7.331,6.1353,6.0,1.9795
60.0,0.0,0.0,0.74,0.74,7.48863,8.0,1.12764
57.0,0.0,0.0,0.314,0.314,5.1868,5.0,1.02496
58.0,0.0,0.0,0.314,0.314,5.1868,5.0,1.02496
56.0,0.0,0.013,0.083,0.096,9.09085,9.0,1.38894
