image_id,rank_1_percent,rank_2_percent,rank_3_percent,rank_4_percent,rank_5_percent,rank_6_percent,rank_7_percent,rank_8_percent,rank_9_percent,rank_10_percent
53.0,85.902,7.376,3.436,0.999,0.552,0.21,0.506,1.019,0.0,0.0
59.0,7.663,20.171,57.112,11.28,3.752,0.021,0.001,0.0,0.0,0.0
61.0,5.68,49.31,17.454,12.531,11.396,1.015,1.031,1.583,0.0,0.0
55.0,0.59,1.216,6.057,3.237,1.171,3.906,2.588,4.362,39.557,37.316
54.0,0.165,19.182,10.205,16.583,5.406,9.757,7.903,18.318,5.941,6.54
62.0,0.0,2.732,4.599,16.669,15.665,13.791,27.051,5.823,6.119,7.551
60.0,0.0,0.0,0.74,1.532,2.986,13.343,15.938,57.107,6.435,1.919
57.0,0.0,0.0,0.314,33.405,23.311,34.034,8.164,0.737,0.035,0.0
58.0,0.0,0.0,0.314,33.405,23.311,34.034,8.164,0.737,0.035,0.0
56.0,0.0,0.013,0.083,3.45,2.356,0.612,2.784,2.887,41.176,46.639
