image_id,first_place_percent,second_place_percent,third_place_percent,top_3_percent,mean_rank,median_rank,rank_std
11.0,77.364,18.475,4.161,100.0,1.26797,1.0,0.528566
15.0,19.915,27.248,52.807,99.97,2.32952,3.0,0.787297
14.0,2.721,54.26,43.003,99.984,2.40318,2.0,0.543623
18.0,0.0,0.017,0.029,0.046,4.80267,5.0,0.536331
16.0,0.0,0.0,0.0,0.0,4.25474,4.0,0.442321
13.0,0.0,0.0,0.0,0.0,6.51269,6.0,0.853627
12.0,0.0,0.0,0.0,0.0,6.69574,7.0,0.51833
17.1,0.0,0.0,0.0,0.0,8.16057,8.0,0.937234
17.0,0.0,0.0,0.0,0.0,9.63454,10.0,1.05014
19.0,0.0,0.0,0.0,0.0,9.64958,10.0,0.916115
20.0,0.0,0.0,0.0,0.0,10.2888,11.0,0.940678
