image_id,first_place_percent,second_place_percent,third_place_percent,top_3_percent,mean_rank,median_rank,rank_std
79.0,73.484,19.781,5.367,98.632,1.35038,1.0,0.665217
64.0,23.983,26.101,11.038,61.122,3.44038,2.0,2.44566
65.0,2.179,8.179,28.409,38.767,5.55204,4.0,3.13643
82.0,0.178,29.684,15.536,45.398,4.48597,4.0,2.70111
67.0,0.176,7.586,6.11,13.872,9.27407,10.0,4.08802
78.0,0.0,7.951,18.225,26.176,5.03218,5.0,1.98358
66.0,0.0,0.19,7.49,7.68,7.07837,7.0,2.8347
68.0,0.0,0.083,3.621,3.704,6.77419,7.0,2.00975
80.0,0.0,0.0,2.726,2.726,6.99289,7.0,2.09479
63.0,0.0,0.442,1.425,1.867,8.75914,9.0,2.52882
83.0,0.0,0.001,0.046,0.047,13.7102,14.0,2.1519
84.0,0.0,0.002,0.007,0.009,14.5924,15.0,1.89267
69.0,0.0,0.0,0.0,0.0,10.5088,10.0,2.48434
70.0,0.0,0.0,0.0,0.0,11.2032,12.0,1.11764
81.0,0.0,0.0,0.0,0.0,12.2876,13.0,1.79087
71.0,0.0,0.0,0.0,0.0,16.9516,16.0,1.96442
85.0,0.0,0.0,0.0,0.0,17.2564,17.0,0.901193
75.0,0.0,0.0,0.0,0.0,18.3915,18.0,1.86701
74.0,0.0,0.0,0.0,0.0,19.2842,20.0,1.8508
76.0,0.0,0.0,0.0,0.0,19.3292,19.0,2.48274
72.0,0.0,0.0,0.0,0.0,20.4221,20.0,1.20163
73.0,0.0,0.0,0.0,0.0,20.5605,22.0,2.54105
77.0,0.0,0.0,0.0,0.0,22.7625,23.0,0.485811
