threshold,segmented_fraction,connected_components,mean_region_area,median_region_area,separability,threshold_instability,detector,sample_state,material,image_id
0.4824577,0.33060991646039606,156,3287.7884615384614,154.0,2.1166244,0.07670242782689864,ICE-SE,Fresh,LFP,41
0.45295924,0.2971902073019802,191,2413.869109947644,115.0,2.0444198,0.07479052666167647,ICE-SE,Fresh,LFP,42
0.44020796,0.33407268461221123,135,3839.0148148148146,130.0,2.0296443,0.08172167208304207,ICE-SE,Fresh,LFP,43
0.5253906,0.3935450185643564,94,6495.0,108.5,2.2581851,0.0772118129777512,ICE-SE,Fresh,LFP,44
0.6137098,0.42673009488448843,168,3940.5476190476193,99.0,2.4294398,0.08302415062664327,ICE-SE,Fresh,LFP_44,1
