threshold,segmented_fraction,connected_components,mean_region_area,median_region_area,separability,threshold_instability,detector,sample_state,material,image_id
0.48632812,0.516370152640264,140,5721.971428571429,170.5,1.8332901,0.1184439306326113,TLD,Fresh,LFP,21
0.38085938,0.48722153465346535,159,4753.811320754717,209.0,1.6785153,0.1320852499680459,TLD,Fresh,LFP,22
0.5097656,0.47790390367161717,145,5113.110344827586,179.0,1.7452216,0.13673307521714242,TLD,Fresh,LFP,23
0.5214844,0.4654051928630363,181,3989.011049723757,129.0,1.7360348,0.13900703998979197,TLD,Fresh,LFP,24
0.5371094,0.45908557652640264,177,4023.768361581921,128.0,1.7485684,0.13991270650115187,TLD,Fresh,LFP,25
0.5527344,0.4140650783828383,193,3328.3108808290153,103.0,1.7670339,0.14045629404259935,TLD,Fresh,LFP,26
0.5605469,0.419308864480198,190,3423.678947368421,98.5,1.7694256,0.14203737306815237,TLD,Fresh,LFP,27
0.5722656,0.407884694719472,175,3615.862857142857,135.0,1.783253,0.14292018408312734,TLD,Fresh,LFP,28
0.5761719,0.4002275422854785,199,3120.0854271356784,90.0,1.7874364,0.14188097378980347,TLD,Fresh,LFP,29
0.5800781,0.3959938376650165,178,3451.2865168539324,132.0,1.7947775,0.14243379375808982,TLD,Fresh,LFP,30
0.5800781,0.38374329620462044,199,2991.577889447236,95.0,1.8061267,0.1392378774660967,TLD,Fresh,LFP,31
0.5644531,0.35785762169966995,182,3050.3626373626375,128.5,1.8442318,0.12696602265735024,TLD,Fresh,LFP,32
