sample_state,material,image_id,Mean,RMS_Contrast,Entropy,Sharpness,Gradient,SNR,parameter_set,voltage_kV,current_nA,detector,signal_out,mode,magnification,notes,WD_mm,scan_speed_us,suction_V,threshold,segmented_fraction,mean_region_area,median_region_area,separability,connected_components,threshold_instability
Fresh,LFP,45.0,135.3983505,75.04432908,7.495444604,1040.745329,310.3999258,11.78245672,6,30,0.04,ICE,SI,,50000x,,4 (with 52 titl shows 13),30,,0.58595216,0.3910742832095709,2581.689361702128,162,2.5216792,235,0.06942742
Fresh,LFP,46.0,94.70366195,57.37397058,7.741871822,15392.38871,579.6514294,3.268102281,6,30,0.0011,ICE,SI,,50000x,,4 (with 52 titl shows 13),30,,0.429398,0.3331689614273927,1717.1594684385382,99,1.9937342,301,0.087170688
Fresh,LFP,47.0,126.7760178,69.34601082,7.801198184,4622.3486,429.2611542,6.821862906,6,30,0.0077,ICE,SI,,50000x,,4 (with 52 titl shows 13),30,,0.5470844,0.3918245926155115,2543.351464435146,112,2.2698474,239,0.082489555
Fresh,LFP,48.0,129.2595516,69.8977514,7.672747397,1689.055977,313.0746148,10.77458976,6,30,0.024,ICE,SI,,50000x,,4 (with 52 titl shows 13),30,,0.5664741,0.367519467,2457.564655172414,149,2.3766,232,0.075785881
Fresh,LFP,49.0,139.1679559,69.39547701,7.649206074,2173.908991,284.4464867,12.0635705,6,15,0.022,ICE,SI,,50000x,,4 (with 52 titl shows 13),30,,0.5915174,0.4005337252475247,3510.576271186441,213,2.3622599,177,0.084181364
Fresh,LFP,50.0,51.38707457,38.72060216,7.048288097,11826.53636,452.4897967,2.101433448,6,15,0.00096,ICE,SI,,50000x,,4 (with 52 titl shows 13),30,,0.25264996,0.2681318327145214,1185.096866096866,104,1.8567504,351,0.074227044
Fresh,LFP,51.0,112.3631949,61.34697981,7.824526627,8569.358524,436.2266011,5.286229623,6,15,0.0038,ICE,SI,,50000x,,4 (with 52 titl shows 13),30,,0.49797738,0.3562119688531353,2321.9033613445376,128,2.1472046,238,0.086262992
Fresh,LFP,52.0,128.5591442,64.19692471,7.779580629,4174.520875,332.8032811,8.536209573,6,15,0.011,ICE,SI,,50000x,,4 (with 52 titl shows 13),30,,0.56026196,0.3702125876650165,3208.564245810056,288,2.2730129,179,0.087003968
