threshold,segmented_fraction,connected_components,mean_region_area,median_region_area,separability,threshold_instability,detector,sample_state,material,image_id
0.58595216,0.39107428320957094,235,2581.689361702128,162,2.5216792,0.06942742,ICE,Fresh,LFP,45
0.429398,0.3331689614273927,301,1717.1594684385382,99,1.9937342,0.087170688,ICE,Fresh,LFP,46
0.5470844,0.39182459261551156,239,2543.351464435146,112,2.2698474,0.082489555,ICE,Fresh,LFP,47
0.5664741,0.367519467,232,2457.564655172414,149,2.3766,0.075785881,ICE,Fresh,LFP,48
0.5915174,0.40053372524752473,177,3510.576271186441,213,2.3622599,0.084181364,ICE,Fresh,LFP,49
0.25264996,0.26813183271452146,351,1185.096866096866,104,1.8567504,0.074227044,ICE,Fresh,LFP,50
0.49797738,0.35621196885313533,238,2321.9033613445376,128,2.1472046,0.086262992,ICE,Fresh,LFP,51
0.56026196,0.3702125876650165,179,3208.564245810056,288,2.2730129,0.087003968,ICE,Fresh,LFP,52
