image_id,rank_1_percent,rank_2_percent,rank_3_percent,rank_4_percent,rank_5_percent
43.0,48.832,11.989,14.388,19.179,5.612
44.1,36.839,52.294,10.231,0.532,0.104
44.0,14.329,27.207,20.165,20.232,18.067
41.0,0.0,8.1,54.402,35.854,1.644
42.0,0.0,0.41,0.814,24.203,74.573
