image_id,first_place_percent,second_place_percent,third_place_percent,top_3_percent,mean_rank,median_rank,rank_std
54.0,60.313,7.826,2.407,70.546,2.94382,1.0,2.82435
59.0,35.951,18.439,15.318,69.708,2.47197,2.0,1.36626
56.0,3.336,42.345,4.153,49.834,5.07932,4.0,3.19975
53.0,0.4,0.735,0.032,1.167,8.90078,10.0,1.63546
60.0,0.0,21.311,12.434,33.745,4.64355,4.0,2.08521
57.0,0.0,9.325,22.918,32.243,4.43558,4.0,1.47703
58.0,0.0,9.325,22.918,32.243,4.43558,4.0,1.47703
55.0,0.0,0.019,30.271,30.29,7.21011,9.0,3.0667
61.0,0.0,0.0,3.142,3.142,7.70835,8.0,1.66727
62.0,0.0,0.0,0.0,0.0,6.17094,6.0,1.13142
