image_id,first_place_percent,second_place_percent,third_place_percent,top_3_percent,mean_rank,median_rank,rank_std
67.0,64.314,14.598,8.101,87.013,2.00399,1.0,1.98323
68.0,20.669,5.221,9.104,34.994,5.18084,6.0,3.01965
73.0,7.93,13.381,3.748,25.059,7.02034,6.0,4.62782
75.0,2.744,15.85,21.787,40.381,4.32822,4.0,2.08325
76.0,2.558,4.276,4.182,11.016,6.7359,7.0,2.72219
64.0,0.957,5.242,0.8,6.999,14.7785,16.0,5.65014
77.0,0.663,1.291,2.484,4.438,16.1886,19.0,6.75855
74.0,0.146,6.174,29.535,35.855,4.0812,4.0,1.37333
66.0,0.019,31.792,11.605,43.416,4.16602,4.0,1.84946
79.0,0.0,1.109,6.798,7.907,8.52472,8.0,3.32247
82.0,0.0,1.066,1.554,2.62,8.86834,9.0,2.55777
85.0,0.0,0.0,0.302,0.302,13.6649,14.0,5.01405
63.0,0.0,0.0,0.0,0.0,11.2199,11.0,2.93829
80.0,0.0,0.0,0.0,0.0,11.4412,11.0,2.63508
65.0,0.0,0.0,0.0,0.0,13.8153,14.0,2.10506
83.0,0.0,0.0,0.0,0.0,14.5266,14.0,1.76885
70.0,0.0,0.0,0.0,0.0,15.6956,16.0,2.09196
78.0,0.0,0.0,0.0,0.0,15.7213,16.0,3.28585
84.0,0.0,0.0,0.0,0.0,16.1158,17.0,2.71214
81.0,0.0,0.0,0.0,0.0,18.523,19.0,2.00618
69.0,0.0,0.0,0.0,0.0,20.2426,21.0,2.43534
71.0,0.0,0.0,0.0,0.0,20.6123,21.0,1.07476
72.0,0.0,0.0,0.0,0.0,22.5449,23.0,0.83033
