threshold,segmented_fraction,connected_components,mean_region_area,median_region_area,separability,threshold_instability,detector,sample_state,material,image_id
0.38476562,0.617108215,67,14288.91045,130,1.9404367,0.091261602,TLD,Fresh,LFP,11
0.22297302,0.580809097,133,6774.766917,78,1.6430248,0.138421002,TLD,Fresh,LFP,12
0.23807974,0.611825753,125,7593.296,63,1.6529886,0.135890275,TLD,Fresh,LFP,13
0.44726562,0.593633973,73,12615.61644,117,1.9714844,0.089429207,TLD,Fresh,LFP,14
0.47461483,0.601169297,93,10028.27957,138,2.0026515,0.098771295,TLD,Fresh,LFP,15
0.26338091,0.615072581,122,7821.303279,91,1.7489573,0.128246233,TLD,Fresh,LFP,16
0.3123597,0.234861025,315,1156.679365,111,1.581207,0.175330394,TLD,Fresh,LFP,17
0.32898194,0.21085048,310,1055.177419,109.5,1.666899,0.153973306,TLD,Fresh,LFP,17.1
0.38085938,0.628043781,100,9743.22,83,1.6338027,0.1389349,TLD,Fresh,LFP,18
0.46679258,0.254303966,258,1529.135659,88,1.5886428,0.183414683,TLD,Fresh,LFP,19
0.30553976,0.293539862,318,1432.031447,72,1.6141045,0.174169337,TLD,Fresh,LFP,20
