sample_state,material,image_id,Mean,RMS_Contrast,Entropy,Sharpness,Gradient,SNR,parameter_set,voltage_kV,current_nA,detector,signal_out,mode,magnification,notes,WD_mm,scan_speed_us,suction_V
Fresh,LFP,30,35592.937981512994,14886.81734993615,7.648372522035105,21596217.77238293,11195.187809288667,19.008955556854165,3.0,5.0,0.05,TLD,SE,Immersion,125000x,,3,30.0,90.0
Fresh,LFP,31,35207.986816728546,14994.371920897594,7.650191321623339,25943333.121421088,12447.062067345441,15.215375087807976,3.0,5.0,0.05,TLD,SE,Immersion,125000x,,3,30.0,100.0
Fresh,LFP,32,33626.475154058375,14619.087810624545,7.633081573659594,21983121.434886467,11647.01311312638,16.257191213862843,3.0,5.0,0.05,TLD,SE,Immersion,125000x,,3,30.0,240.0
Fresh,LFP,33,31679.32410336737,18382.01756504858,7.878242832252258,6071494.104240892,12675.074038147339,31.651749437846878,4.0,5.0,0.8,CBS,SE,Field-Free,50000x,,4,30.0,
Fresh,LFP,34,29468.286686520216,18886.353192343064,7.875299769371608,5565778.91504345,6937.039486316272,49.38689598474676,4.0,5.0,0.8,CBS,SE,Field-Free,100000x,,4,30.0,
Fresh,LFP,35,33120.83905154187,15329.645027724644,7.8131825655798615,3373802.034120791,4843.3731898260885,72.58455198695992,4.0,10.0,0.8,CBS,SE,Field-Free,100000x,,4,30.0,
Fresh,LFP,36,32509.21446988449,15731.138852446114,7.8633971015968465,3426164.1650377074,8810.48481808533,44.83909349598402,4.0,10.0,0.8,CBS,SE,Field-Free,50000x,,4,30.0,
Fresh,LFP,37,33112.33351382013,11943.187242361353,7.51290715554813,3312627.3583407286,3859.200779898148,75.48997672179078,4.0,15.0,0.8,CBS,SE,Field-Free,100000x,,4,30.0,
Fresh,LFP,38,31529.70496403156,12165.76231869336,7.572354606402789,3275571.138182516,6549.441422490959,51.8154723465173,4.0,15.0,0.8,CBS,SE,Field-Free,50000x,,4,30.0,
Fresh,LFP,39,28936.816067192656,13208.537335574363,7.646144161037172,6568677.571195403,4508.97686490385,47.785467560502006,4.0,20.0,0.8,CBS,SE,Field-Free,100000x,,4,30.0,
Fresh,LFP,40,31864.46446086015,13566.706018731355,7.711813185241251,6017969.631659482,6983.761444254126,42.969852619046115,4.0,20.0,0.8,CBS,SE,Field-Free,50000x,,4,30.0,
Fresh,LFP,41,104.49717280321782,63.34082219503286,7.674770275929601,551.5912758241938,292.1340482223279,10.21090095093719,5.0,30.0,0.024,ICE,SE,,50000x,,4 (with 52 titl shows 13),30.0,
Fresh,LFP,42,95.99395369224422,57.99747363705829,7.572606381671159,1073.9708357461195,301.359526279296,8.238520598279097,5.0,30.0,0.0077,ICE,SE,,50000x,,4 (with 52 titl shows 13),30.0,
Fresh,LFP,43,96.5578054094472,57.01660888054996,7.667778005797433,5932.527648856077,444.0745978153192,4.706716443879072,5.0,30.0,0.0011,ICE,SE,,50000x,,4 (with 52 titl shows 13),30.0,
