sample_state,material,image_id,Mean,RMS_Contrast,Entropy,Sharpness,Gradient,SNR,parameter_set,voltage_kV,current_nA,detector,signal_out,mode,magnification,notes,WD_mm,scan_speed_us,suction_V,threshold,segmented_fraction,mean_region_area,median_region_area,separability,connected_components,threshold_instability
Fresh,LFP,63.0,19882.34754,13696.22039,7.37473376,7324324.949,9150.895049,20.98093669,8,5,0.8,ETD,SE,Field-Free,50000x,,4,30,,0.34570312,0.3774146555280528,3018.072164948453,820.5,1.9201462,194,0.0753477792384275
Fresh,LFP,64.0,18084.73628,11275.59169,7.217533683,3327025.058,7324.32003,27.55373696,8,5,1.6,ETD,SE,Field-Free,50000x,"same area as previous, huge drift, due to high current",4,30,,0.30273438,0.4046114377062706,3758.670658682635,1336.0,1.8917146,167,0.0831130334713308
Fresh,LFP,65.0,20419.92526,11243.7926,7.295334025,14882000.29,8881.518574,18.79907254,8,5,0.8,ETD,SE,Field-Free,50000x,Different area,4,30,,0.32613385,0.4487623762376238,3644.984293193717,808.0,1.9131694,191,0.09259880123747
Fresh,LFP,66.0,25432.84431,18090.34957,7.494824997,23545217.44,12830.79073,16.27382639,8,5,0.4,ETD,SE,Field-Free,50000x,same area as previous,4,30,,0.45117188,0.3644776196369637,3089.814207650273,554.0,2.1241841,183,0.0674225430521102
Fresh,LFP,67.0,27552.12768,19301.94824,7.443682748,39124355.94,15356.38619,12.58234196,8,5,0.2,ETD,SE,Field-Free,50000x,same area as previous,4,30,,0.49414062,0.3568771916254125,2700.7073170731705,414.0,2.2485123,205,0.0657322314753448
Fresh,LFP,68.0,25534.80375,15443.02729,7.574794099,10644008.79,10485.23507,24.50934791,8,5,3.2,ETD,SE,Field-Free,50000x,same area as previous,4,30,,0.42773438,0.4022838025990099,3759.560240963856,492.5,1.9803084,166,0.08349120699847
Fresh,LFP,69.0,15259.16809,11201.92738,7.035492868,6060377.277,7689.261031,17.79014576,8,5,0.8,ETD,SE,Field-Free,50000x,"same as previous, going down in current",4,30,,0.27148044,0.3623775268151815,3022.462365591398,605.0,1.9282255,186,0.0710728273593217
Fresh,LFP,70.0,18551.95392,12850.04696,7.252519061,10511588.3,8425.672336,16.30844738,8,10,0.8,ETD,SE,Field-Free,50000x,,4,30,,0.31445312,0.398805564150165,2946.147619047619,502.5,1.8735133,210,0.0754423358961583
Fresh,LFP,71.0,16438.08137,10905.57955,7.086120517,12081064.11,7977.826122,13.28540699,8,15,0.8,ETD,SE,Field-Free,50000x,"Same are as previous, high voltage also causes drift",4,30,,0.28320312,0.3777852980610561,2334.98406374502,184.0,1.6376133,251,0.0883444718210628
Fresh,LFP,72.0,15355.40857,9233.903886,6.941692514,13106497.41,7657.869866,13.34214866,8,20,0.8,ETD,SE,Field-Free,50000x,same area as previous,4,30,,0.26367185,0.3632309715346534,1943.1103448275865,122.5,1.5677283,290,0.102142823493362
Fresh,LFP,73.0,19666.76679,12948.88347,7.310609971,50309967.17,15920.28854,7.114079161,8,30,0.8,ETD,SE,Field-Free,50000x,same area as previous,4,30,,0.36914062,0.2965720400165016,1285.167597765363,127.5,1.853997,358,0.0748057731582875
Fresh,LFP,74.0,31008.11636,15019.53834,7.480265153,32692384.9,14836.88443,14.52493302,8,30,1.6,ETD,SE,Field-Free,50000x,same area as previous,4,30,,0.5292969,0.3525700030940594,1657.4636363636364,146.0,1.98979,330,0.1025094110666355
