sample_state,material,image_id,Mean,RMS_Contrast,Entropy,Sharpness,Gradient,SNR,parameter_set,voltage_kV,current_nA,detector,signal_out,mode,magnification,notes,WD_mm,scan_speed_us,suction_V,threshold,segmented_fraction,mean_region_area,median_region_area,separability,connected_components,threshold_instability
Fresh,LFP,75.0,31751.40159,14151.80709,7.452739539,34145344.37,15786.39902,13.80859854,8,30,1.6,ETD,SE,Field-Free,50000x,same settings different area moving from beam history,4,30,,0.5097656,0.4287928011551155,2078.7875,155.5,1.8358899,320,0.1243477155970008
Fresh,LFP,76.0,31007.55709,13932.22571,7.435227895,21282755.43,16446.37409,12.13362712,8,30,3.2,ETD,SE,Field-Free,50000x,same area as previous,4,30,,0.49414062,0.440516707920792,2058.4337349397592,139.5,1.7864726,332,0.1269980758111698
Fresh,LFP,77.0,13718.98589,8350.716409,6.786168005,57061545.52,12656.13546,5.851854752,8,30,0.4,ETD,SE,Field-Free,50000x,same area as previous,4,30,,0.23632784,0.3590533467409241,1406.6186868686868,100.5,1.4882474,396,0.1064583080491132
Fresh,LFP,78.0,18279.19524,14417.57382,7.144300132,6877191.857,8402.346752,17.44632492,8,10,1.6,ETD,SE,Field-Free,50000x,same area as previous,4,30,,0.31835938,0.3901731384075907,3419.768361581921,665.0,1.965006,177,0.0630932282824665
Fresh,LFP,79.0,22363.2227,16648.20206,7.362842937,7428916.154,9270.99181,21.38624823,8,10,1.6,ETD,SE,Field-Free,50000x,Different area,4,30,,0.37304688,0.4260178166254125,4209.598726114649,563.0,2.1757689,157,0.0583584760278204
Fresh,LFP,80.0,20419.97015,12837.43412,7.398307147,20942640.24,11201.51083,10.73656165,8,10,0.4,ETD,SE,Field-Free,50000x,Different area,4,30,,0.33398438,0.428697400990099,3445.9274611398964,372.0,1.9890218,193,0.0749509537628793
Fresh,LFP,81.0,19423.3674,9695.067209,7.110038281,20802460.69,8904.872006,14.34837067,8,15,0.4,ETD,SE,Field-Free,50000x,same area as previous,4,30,,0.31054652,0.4367058580858086,2907.6738197424893,179.0,1.8761735,233,0.0982754502456574
Fresh,LFP,82.0,23850.09301,13969.50275,7.513382372,10319699.25,9344.595759,19.89075485,8,15,1.6,ETD,SE,Field-Free,50000x,same area as previous,4,30,,0.38476562,0.4407145988036303,3819.59217877095,252.0,2.0839705,179,0.0754609823855867
Fresh,LFP,83.0,22210.76993,11393.40168,7.31098467,12926939.51,10298.59085,14.35007388,8,20,1.6,ETD,SE,Field-Free,50000x,same area as previous,4,30,,0.35351562,0.4463586788366336,2653.114942528736,181.0,1.8350518,261,0.1029963707027585
Fresh,LFP,84.0,19220.35851,10463.1868,7.19162641,21592226.35,10813.65922,11.15003786,8,20,0.8,ETD,SE,Field-Free,50000x,same area as previous,4,30,,0.3066406,0.446861463490099,2374.1198630136987,163.5,1.8227968,292,0.0963251549529836
Fresh,LFP,85.0,17364.96532,10017.31982,7.106078106,46140240.74,11638.99158,8.393085794,8,20,0.4,ETD,SE,Field-Free,50000x,same area as previous,4,30,,0.2871087,0.4099209725660066,2148.429054054054,128.5,1.7477474,296,0.0955579078581601
